PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=1.66 ms
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=1.44 ms
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=1.40 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=1.59 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=1.44 ms
64 bytes from 192.168.1.2: icmp_seq=8 ttl=64 time=1.72 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=1.38 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=1.42 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=1.39 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=1.39 ms
64 bytes from 192.168.1.2: icmp_seq=14 ttl=64 time=3.49 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=1.32 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 12 received, 20% packet loss, time 14022ms
rtt min/avg/max/mdev = 1.322/1.640/3.491/0.572 ms
