PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=3.01 ms
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=4.75 ms
64 bytes from 192.168.1.2: icmp_seq=4 ttl=64 time=2.27 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=2.24 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=1.02 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=1248 ms
64 bytes from 192.168.1.2: icmp_seq=9 ttl=64 time=1.01 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=1.05 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=1.05 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=0.966 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=1.06 ms
64 bytes from 192.168.1.2: icmp_seq=15 ttl=64 time=0.989 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 12 received, 20% packet loss, time 14021ms
rtt min/avg/max/mdev = 0.966/105.702/1248.981/344.713 ms, pipe 2
