Data (bytes)	Time (ms)
1823032	2.000469
467704	2.000473
783368	2.000482
1909912	2.000469
836944	2.000523
1146816	2.000564
2138696	2.000526
1113512	2.000490
1801312	2.000465
1514608	2.000503
4155760	2.000521
1476960	2.000535
2922064	2.000517
4477216	2.000491
2144488	2.000548
4262912	2.000616
1359672	2.000469
3909600	2.000893
1384288	2.000467
1245280	2.000486
4019648	2.000517
4148520	2.000440
1407456	2.000467
4283184	2.000540
1400216	2.000464
4191960	2.000558
2736720	2.000546
1466824	2.000475
2202408	2.000493
4517760	2.000478
