PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=1.31 ms
64 bytes from 192.168.1.2: icmp_seq=2 ttl=64 time=1.52 ms
64 bytes from 192.168.1.2: icmp_seq=5 ttl=64 time=1.75 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=1.83 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=1.15 ms
64 bytes from 192.168.1.2: icmp_seq=8 ttl=64 time=1.53 ms
64 bytes from 192.168.1.2: icmp_seq=10 ttl=64 time=1.13 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=2.11 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 8 received, 46% packet loss, time 14023ms
rtt min/avg/max/mdev = 1.139/1.547/2.116/0.322 ms
