PING 192.168.1.2 (192.168.1.2) 56(84) bytes of data.
64 bytes from 192.168.1.2: icmp_seq=1 ttl=64 time=15.0 ms
64 bytes from 192.168.1.2: icmp_seq=3 ttl=64 time=11.6 ms
64 bytes from 192.168.1.2: icmp_seq=6 ttl=64 time=2.93 ms
64 bytes from 192.168.1.2: icmp_seq=7 ttl=64 time=20.5 ms
64 bytes from 192.168.1.2: icmp_seq=11 ttl=64 time=8.10 ms
64 bytes from 192.168.1.2: icmp_seq=12 ttl=64 time=5.29 ms
64 bytes from 192.168.1.2: icmp_seq=13 ttl=64 time=9.61 ms

--- 192.168.1.2 ping statistics ---
15 packets transmitted, 7 received, 53% packet loss, time 14034ms
rtt min/avg/max/mdev = 2.939/10.459/20.573/5.536 ms
